Date,Ticker,Side,Pred_Return_%,XGB_Rank_Score,Strategy_Return,Strategy_Return_%
2024-01-02,XOM,LONG,7.22,0.2129,0.0387,3.87
2024-01-03,XOM,LONG,2.64,0.2141,-0.0056,-0.56
2024-01-04,NVDA,LONG,3.94,0.2156,0.315,31.5
2024-01-05,XOM,LONG,1.4,0.2333,-0.0134,-1.34
2024-01-08,F,LONG,1.24,0.1949,-0.0319,-3.19
2024-01-09,XOM,LONG,8.1,0.1955,0.0031999999999999997,0.32
2024-01-10,XOM,LONG,10.77,0.2356,0.015600000000000001,1.56
2024-01-11,XOM,LONG,11.7,0.2128,0.0435,4.35
2024-01-12,XOM,LONG,10.75,0.2232,0.021400000000000002,2.14
2024-01-16,XOM,LONG,10.89,0.2216,0.022199999999999998,2.22
2024-01-17,XOM,LONG,12.97,0.2342,0.037,3.7
2024-01-18,XOM,LONG,13.86,0.2262,0.0395,3.95
2024-01-19,XOM,LONG,11.35,0.1898,0.07150000000000001,7.15
2024-01-22,XOM,LONG,11.0,0.2624,0.0699,6.99
2024-01-23,XOM,LONG,13.66,0.2161,0.061099999999999995,6.11
2024-01-24,XOM,LONG,9.46,0.1952,0.0708,7.08
2024-01-25,XOM,LONG,4.41,0.1883,0.0516,5.16
2024-01-26,PFE,LONG,7.29,0.1716,0.0005999999999999998,0.06
2024-01-29,PFE,LONG,5.82,0.1713,-0.0206,-2.06
2024-01-30,PFE,LONG,6.19,0.1638,-0.0315,-3.15
2024-01-31,PFE,LONG,7.2,0.2212,-0.0093,-0.93
2024-02-01,XOM,LONG,0.3,0.2064,0.016099999999999996,1.61
2024-02-02,PFE,LONG,4.31,0.1951,-0.035699999999999996,-3.57
2024-02-05,PFE,LONG,7.1,0.1927,-0.0486,-4.86
2024-02-06,PFE,LONG,8.48,0.2163,-0.0284,-2.84
2024-02-07,PFE,LONG,3.9,0.2244,-0.0213,-2.13
2024-02-08,PFE,LONG,5.22,0.1696,-0.0379,-3.79
2024-02-09,PFE,LONG,4.56,0.181,-0.022699999999999998,-2.27
2024-02-12,PFE,LONG,5.17,0.1954,0.0194,1.94
2024-02-13,PFE,LONG,4.25,0.2314,0.0026999999999999993,0.27
2024-02-14,PFE,LONG,7.89,0.2038,0.0363,3.63
2024-02-15,PFE,LONG,4.26,0.1358,0.027599999999999993,2.76
2024-02-16,PFE,LONG,3.28,0.1576,0.005600000000000001,0.56
2024-02-20,PFE,LONG,2.26,0.1458,-0.0064,-0.64
2024-02-21,PLTR,LONG,1.6,0.2193,0.0071,0.71
2024-02-22,PLTR,LONG,1.27,0.1932,0.07050000000000001,7.05
2024-02-23,PSKY,LONG,0.95,0.0408,0.0037,0.37
2024-02-26,PLTR,LONG,0.96,0.1728,0.042699999999999995,4.27
2024-02-27,PSKY,LONG,1.08,0.0846,0.0269,2.69
2024-02-28,HPE,LONG,0.6,0.0458,0.1867,18.67
2024-02-29,SBUX,LONG,3.62,0.0647,-0.026099999999999998,-2.61
2024-03-01,SBUX,LONG,1.06,0.0431,-0.04700000000000001,-4.7
2024-03-04,SBUX,LONG,1.68,-0.0146,-0.027500000000000004,-2.75
2024-03-05,WBD,LONG,0.43,0.1229,0.03559999999999999,3.56
2024-03-06,WBD,LONG,3.39,0.1056,0.06249999999999999,6.25
2024-03-07,WBD,LONG,1.38,0.0897,-0.0064,-0.64
2024-03-08,WBD,LONG,1.07,0.0656,-0.0581,-5.81
2024-03-11,WBD,LONG,1.1,0.0845,-0.0341,-3.41
2024-03-12,BA,LONG,0.34,0.1485,-0.060000000000000005,-6.0
2024-03-13,PSKY,LONG,1.7,0.0729,-0.060000000000000005,-6.0
2024-03-14,PSKY,LONG,0.6,0.1113,-0.041,-4.1
2024-03-15,AES,LONG,3.03,0.1097,0.1111,11.11
2024-03-18,AES,LONG,4.03,0.1232,0.0666,6.66
2024-03-19,AES,LONG,1.8,0.1201,0.059199999999999996,5.92
2024-03-20,NKE,LONG,3.39,-0.0147,-0.060000000000000005,-6.0
2024-03-21,NKE,LONG,6.66,-0.0365,-0.0552,-5.52
2024-03-22,TSLA,LONG,1.27,0.0367,-0.060000000000000005,-6.0
2024-03-25,NKE,LONG,10.88,0.1499,-0.006500000000000001,-0.65
2024-03-26,NKE,LONG,9.64,0.1425,-0.0071,-0.71
2024-03-27,PFE,LONG,0.46,0.1527,-0.057800000000000004,-5.78
2024-03-28,LULU,LONG,2.73,0.1992,-0.060000000000000005,-6.0
2024-04-01,LULU,LONG,1.84,0.175,-0.060000000000000005,-6.0
2024-04-02,LULU,LONG,1.94,0.1794,-0.060000000000000005,-6.0
2024-04-03,CCL,LONG,2.34,0.1659,-0.0526,-5.26
2024-04-04,CCL,LONG,1.71,0.1849,-0.060000000000000005,-6.0
2024-04-05,CCL,LONG,3.34,0.146,-0.049800000000000004,-4.98
2024-04-08,AAPL,LONG,6.75,0.2594,0.0714,7.14
2024-04-09,AAPL,LONG,6.85,0.2237,0.06870000000000001,6.87
2024-04-10,AAPL,LONG,9.19,0.176,0.065,6.5
2024-04-11,PFE,LONG,2.8,0.1098,0.0641,6.41
2024-04-12,PFE,LONG,3.59,0.1342,0.076,7.6
2024-04-15,TSLA,LONG,1.7,0.1741,-0.0251,-2.51
2024-04-16,PSKY,LONG,3.91,0.2157,0.18359999999999999,18.36
2024-04-17,AAPL,LONG,8.99,0.1957,0.0981,9.81
2024-04-18,AAPL,LONG,9.16,0.2512,0.1208,12.08
2024-04-19,AAPL,LONG,10.15,0.2218,0.128,12.8
2024-04-22,AAPL,LONG,11.58,0.2549,0.14229999999999998,14.23
2024-04-23,INTC,LONG,2.75,0.1935,-0.060000000000000005,-6.0
2024-04-24,PSKY,LONG,2.74,0.1827,-0.060000000000000005,-6.0
2024-04-25,INTC,LONG,2.54,0.2313,-0.060000000000000005,-6.0
2024-04-26,PFE,LONG,0.96,0.1455,0.14289999999999997,14.29
2024-04-29,INTC,LONG,2.81,0.2242,-0.0425,-4.25
2024-04-30,PFE,LONG,3.72,0.2083,0.1104,11.04
2024-05-01,WBD,LONG,1.96,0.2637,0.0308,3.08
2024-05-02,WBD,LONG,0.41,0.2528,0.0504,5.04
2024-05-03,WBD,LONG,0.42,0.216,0.026499999999999996,2.65
2024-05-06,CCL,LONG,2.61,0.1716,0.0987,9.87
2024-05-07,WBD,LONG,0.51,0.1701,0.0252,2.52
2024-05-08,CCL,LONG,1.37,0.2706,0.19039999999999999,19.04
2024-05-09,WBD,LONG,1.4,0.2127,0.059199999999999996,5.92
2024-05-10,NKE,LONG,3.73,0.1272,0.0279,2.79
2024-05-13,CCL,LONG,0.8,0.19,0.1355,13.55
2024-05-14,CCL,LONG,1.46,0.2054,0.11230000000000001,11.23
2024-05-15,CCL,LONG,2.48,0.224,0.14289999999999997,14.29
2024-05-16,NKE,LONG,4.81,0.2686,0.021400000000000002,2.14
2024-05-17,CCL,LONG,0.6,0.2735,0.019500000000000003,1.95
2024-05-20,CMCSA,LONG,0.47,0.0903,-0.0599,-5.99
2024-05-21,NKE,LONG,3.83,0.1411,0.026799999999999997,2.68
2024-05-22,NKE,LONG,2.2,0.1357,0.0237,2.37
2024-05-23,CMCSA,LONG,4.11,0.1001,-0.0205,-2.05
2024-05-24,CCL,LONG,2.37,0.2515,0.09890000000000002,9.89
2024-05-28,NKE,LONG,6.18,0.1968,0.026699999999999995,2.67
2024-05-29,NKE,LONG,3.55,0.2409,0.016399999999999998,1.64
2024-05-30,CSCO,LONG,3.01,0.2156,0.019700000000000002,1.97
2024-05-31,CSCO,LONG,3.5,0.1714,0.0201,2.01
2024-06-03,CSCO,LONG,3.08,0.1897,0.011899999999999999,1.19
