Date,Ticker,Side,Pred_Return_%,XGB_Rank_Score,Daily_Rank_Pct,Strategy_Return,Strategy_Return_%
2024-01-02,PFE,LONG,2.48,0.0195,95.17,-0.0027,-0.27
2024-01-09,CVNA,LONG,2.14,-0.0361,94.42,-0.03,-3.0
2024-01-10,YINN,LONG,2.23,0.093,99.95,0.010899999999999998,1.09
2024-01-10,CMC,LONG,2.04,-0.0006,97.3,0.0106,1.06
2024-01-12,REPL,LONG,2.08,0.1519,100.0,-0.03,-3.0
2024-01-12,ZIM,LONG,2.61,-0.0473,93.91,-0.03,-3.0
2024-01-16,TZA,LONG,2.01,-0.023,96.44,0.007899999999999999,0.79
2024-01-16,ZIM,LONG,2.94,-0.0412,95.25,-0.03,-3.0
2024-01-19,CFLT,LONG,2.09,0.0704,99.62,0.0167,1.67
2024-01-19,APPN,LONG,2.33,-0.0219,90.02,0.045899999999999996,4.59
2024-01-22,SE,LONG,2.05,0.0527,99.19,0.07990000000000001,7.99
2024-01-22,BILI,LONG,2.0,0.0249,97.81,0.11470000000000001,11.47
2024-01-25,SBUX,LONG,2.93,-0.0157,97.1,0.0071,0.71
2024-01-25,ROKU,LONG,2.5,-0.022,96.53,0.036699999999999997,3.67
2024-01-26,ROKU,LONG,2.41,0.0031,98.76,0.0055,0.55
2024-01-26,HOOD,LONG,2.03,-0.0277,95.82,0.013199999999999998,1.32
2024-01-29,AFRM,LONG,2.08,0.024,98.91,-0.03,-3.0
2024-01-29,COLB,LONG,2.17,-0.0335,94.82,-0.0193,-1.93
2024-01-30,GAP,LONG,2.27,0.0181,99.1,-0.0121,-1.21
2024-01-30,JD,LONG,2.02,-0.0419,93.04,-0.0216,-2.16
2024-01-31,LI,LONG,2.05,0.0174,99.03,0.029199999999999997,2.92
2024-01-31,GAP,LONG,2.08,-0.0232,94.45,0.0191,1.91
2024-02-01,UPST,LONG,2.05,0.1595,99.95,-0.0162,-1.62
2024-02-01,RIVN,LONG,2.81,0.1564,99.91,-0.03,-3.0
2024-02-02,RIG,LONG,3.11,0.0314,98.69,-0.03,-3.0
2024-02-02,FLG,LONG,2.39,-0.0138,93.99,-0.03,-3.0
2024-02-06,RUN,LONG,2.17,0.0142,92.89,0.1253,12.53
2024-02-08,HUT,LONG,2.25,0.0393,99.43,0.2899,28.99
2024-02-08,SGML,LONG,2.41,0.0041,97.72,0.1425,14.25
2024-02-12,SQM,LONG,2.04,0.0187,98.91,-0.0048000000000000004,-0.48
2024-02-12,TZA,LONG,2.08,0.0177,98.87,-0.015,-1.5
2024-02-28,SBAC,LONG,2.04,-0.0218,97.13,0.0366,3.66
2024-02-28,SPHD,LONG,2.09,-0.0269,96.61,-0.0055,-0.55
2024-02-29,HSY,LONG,2.41,-0.0637,90.74,-0.024399999999999998,-2.44
2024-03-12,RIVN,LONG,2.16,0.0215,96.91,-0.03,-3.0
2024-03-13,RIVN,LONG,2.07,0.1219,99.95,-0.03,-3.0
2024-05-06,BILL,LONG,2.03,0.0299,99.02,-0.0233,-2.33
2024-05-07,SMCI,LONG,3.01,-0.0366,93.52,-0.023899999999999998,-2.39
2024-05-07,INTC,LONG,4.53,-0.0446,92.0,-0.03,-3.0
2024-05-08,ASX,LONG,3.26,0.0046,96.89,0.0035000000000000014,0.35
2024-05-08,PLTR,LONG,4.2,-0.0074,95.69,-0.03,-3.0
2024-05-09,UNIT,LONG,2.68,0.0131,97.22,-0.0254,-2.54
2024-05-09,ABBV,LONG,4.01,0.0086,97.1,-0.0071,-0.71
2024-05-10,MA,LONG,2.69,-0.0015,96.86,-0.016800000000000002,-1.68
2024-05-10,ABBV,LONG,2.75,-0.0278,94.48,-0.0045,-0.45
2024-05-20,FIVE,LONG,3.64,0.0527,99.26,-0.03,-3.0
2024-05-20,TAP,LONG,2.75,0.0321,98.33,-0.03,-3.0
2024-05-21,FIVE,LONG,3.53,0.0477,99.72,-0.03,-3.0
2024-05-21,POOL,LONG,2.59,0.0246,99.16,-0.0187,-1.87
2024-05-22,HOPE,LONG,2.3,-0.0013,92.2,-0.03,-3.0
2024-05-22,TAP,LONG,2.1,-0.0027,91.99,-0.03,-3.0
2024-05-24,LULU,LONG,3.18,0.0671,99.67,-0.0199,-1.99
2024-05-24,NVD,LONG,2.83,0.0404,99.25,-0.03,-3.0
2024-05-30,AL,LONG,2.11,0.0023,97.24,0.002,0.2
2024-05-30,SG,LONG,2.32,-0.0111,95.98,0.033299999999999996,3.33
2024-06-04,PVH,LONG,2.16,-0.0279,93.85,-0.0118,-1.18
2024-06-04,TAP,LONG,2.49,-0.0334,92.45,-0.0181,-1.81
2024-06-05,TAP,LONG,2.71,-0.0037,96.78,-0.0218,-2.18
2024-06-06,ASTS,LONG,2.19,0.1512,99.95,-0.03,-3.0
2024-06-06,YANG,LONG,2.52,0.0164,97.67,0.037599999999999995,3.76
2024-06-10,SWK,LONG,2.34,0.069,99.21,0.05480000000000001,5.48
2024-06-10,DVN,LONG,2.06,0.0072,96.11,-0.01,-1.0
2024-06-11,NVAX,LONG,2.85,0.0312,97.72,-0.03,-3.0
2024-06-11,SIRI,LONG,3.56,0.013,96.2,-0.01,-1.0
2024-06-12,LRN,LONG,2.23,0.0331,99.26,-0.009600000000000001,-0.96
2024-06-12,MBLY,LONG,2.71,0.0031,97.4,-0.03,-3.0
2024-06-20,NVAX,LONG,2.36,-0.0071,94.63,0.014900000000000002,1.49
2024-06-20,SCHW,LONG,3.85,-0.0257,92.06,0.0174,1.74
2024-06-21,MS,LONG,2.83,0.0175,96.82,-0.0051,-0.51
2024-06-21,SCHW,LONG,2.41,-0.0139,91.87,0.0082,0.82
2024-06-24,ARRY,LONG,2.15,0.0435,97.57,-0.03,-3.0
2024-06-24,TMDX,LONG,2.02,0.0255,95.94,0.0378,3.78
2024-07-02,SMCI,LONG,4.2,0.1543,100.0,0.049,4.9
2024-07-02,REGN,LONG,2.13,0.0198,96.27,-0.0288,-2.88
2024-07-03,LULU,LONG,2.43,0.0959,99.65,-0.03,-3.0
2024-07-03,SMCI,LONG,3.75,0.0775,99.21,0.06420000000000001,6.42
2024-07-05,OI,LONG,2.24,0.1206,99.91,-0.03,-3.0
2024-07-05,CELH,LONG,2.85,0.078,99.25,-0.03,-3.0
2024-07-08,ST,LONG,2.27,0.0276,95.93,0.0167,1.67
2024-07-08,ZTS,LONG,2.81,0.0166,94.62,-0.020900000000000002,-2.09
2024-07-09,CVNA,LONG,3.92,0.0893,99.58,0.0524,5.24
2024-07-09,SIRI,LONG,3.8,0.0837,99.49,0.1008,10.08
2024-07-10,MSTR,LONG,2.28,0.1395,99.95,0.0484,4.84
2024-07-10,CROX,LONG,3.82,0.1278,99.91,-0.03,-3.0
2024-07-11,COUR,LONG,2.0,0.1204,99.81,-0.0016000000000000007,-0.16
2024-07-11,JBHT,LONG,2.51,0.0808,99.44,0.0435,4.35
2024-07-12,SMCI,LONG,2.08,0.0576,98.91,-0.0242,-2.42
2024-07-12,CCL,LONG,2.37,0.0528,98.61,0.0467,4.67
2024-07-15,MBLY,LONG,2.56,0.076,99.4,-0.03,-3.0
2024-07-15,CMCSA,LONG,2.61,0.0285,97.48,0.0512,5.12
2024-07-16,SMCI,LONG,2.11,-0.0099,95.6,-0.03,-3.0
2024-07-16,VRTX,LONG,2.53,-0.0349,91.39,-0.0204,-2.04
2024-07-18,CELH,LONG,5.78,0.0905,99.68,-0.03,-3.0
2024-07-18,PLD,LONG,3.14,0.0647,98.94,0.024,2.4
2024-07-19,CVS,LONG,6.69,0.1245,99.72,-0.03,-3.0
2024-07-19,SHOP,LONG,4.22,0.0862,99.07,-0.007600000000000001,-0.76
2024-07-22,DPZ,LONG,3.78,0.1288,99.91,0.0436,4.36
2024-07-22,DECK,LONG,2.63,0.077,98.98,-0.03,-3.0
2024-07-23,PINS,LONG,4.35,0.0713,99.26,-0.03,-3.0
2024-07-23,HBM,LONG,3.21,0.0511,98.56,-0.0087,-0.87
2024-07-31,MRK,LONG,2.44,0.0439,98.75,-0.0169,-1.69
2024-07-31,BE,LONG,2.04,0.0215,97.22,-0.03,-3.0
2024-08-15,CRSP,LONG,4.74,0.0921,99.07,0.0331,3.31
2024-08-15,TEX,LONG,2.35,0.0582,98.37,-0.0144,-1.44
2024-08-16,CRSP,LONG,3.09,-0.0021,96.15,0.0049,0.49
2024-08-16,IT,LONG,2.15,-0.0237,93.96,-0.008,-0.8
2024-08-19,SMMT,LONG,2.05,-0.0221,94.49,0.13699999999999998,13.7
2024-08-22,IT,LONG,4.61,0.1034,99.68,-0.0092,-0.92
2024-08-22,EVER,LONG,2.6,0.0433,98.1,0.12350000000000001,12.35
2024-08-23,HE,LONG,2.13,0.1407,99.95,-0.03,-3.0
2024-08-23,CELH,LONG,4.36,0.1386,99.91,-0.013000000000000001,-1.3
2024-08-26,CELH,LONG,4.46,0.1308,99.95,-0.03,-3.0
2024-08-26,CAR,LONG,3.32,0.0861,99.26,-0.03,-3.0
2024-08-27,UNH,LONG,2.12,0.0946,99.68,-0.0064,-0.64
2024-08-27,LRCX,LONG,5.57,0.0787,99.4,-0.026500000000000003,-2.65
2024-08-28,TAN,LONG,2.54,0.0483,99.08,-0.007600000000000001,-0.76
2024-08-28,SHOP,LONG,2.8,0.0364,98.52,-0.0122,-1.22
2024-08-29,BIDU,LONG,2.97,0.0733,99.75,-0.0137,-1.37
2024-08-29,GRPN,LONG,2.61,0.0659,99.49,-0.03,-3.0
2024-08-30,CVNA,LONG,2.96,0.0772,99.54,-0.03,-3.0
2024-08-30,REGN,LONG,2.67,0.0645,99.35,-0.0099,-0.99
2024-09-11,VSCO,LONG,2.07,0.1336,99.91,0.07640000000000001,7.64
2024-09-11,JPM,LONG,2.71,0.0745,99.45,-0.0145,-1.45
2024-09-12,MSCI,LONG,2.12,0.0482,99.4,0.001899999999999999,0.19
2024-09-12,SKY,LONG,2.01,0.0463,99.17,0.0565,5.65
2024-09-13,GRPN,LONG,2.98,0.0833,99.86,0.0932,9.32
2024-09-13,INTU,LONG,2.28,0.0218,98.71,-0.007,-0.7
2024-09-16,MTCH,LONG,2.91,0.0649,99.72,0.020999999999999998,2.1
2024-09-16,TRMB,LONG,2.72,-0.0179,95.31,0.0158,1.58
2024-09-19,FIVE,LONG,2.39,0.0374,98.55,-0.03,-3.0
2024-09-19,TMDX,LONG,2.23,0.0149,97.25,-0.018000000000000002,-1.8
2024-09-20,STT,LONG,2.61,0.0093,94.98,-0.0085,-0.85
2024-09-20,UL,LONG,2.62,-0.0172,91.01,-0.004399999999999999,-0.44
2024-09-24,MRVL,LONG,2.05,0.038,98.53,0.004399999999999999,0.44
2024-09-25,GME,LONG,3.59,0.0612,99.31,0.004399999999999999,0.44
2024-09-25,BOIL,LONG,2.31,0.0596,99.17,0.031100000000000003,3.11
2024-09-26,MOH,LONG,2.62,0.0128,95.32,-0.0088,-0.88
2024-09-26,GME,LONG,6.12,0.003,94.11,0.013700000000000002,1.37
2024-09-27,TTWO,LONG,2.32,0.103,99.95,-0.0232,-2.32
